index,Name,Aces,Double Faults,Service Points Won,Break Points Converted,Sets Won,Tiebreaks Won,Wins,Match Duration,Year
4477,Byron Black,4.6,2.2,50.8,3,1.6,0.2,0.8,85.8,1997
4478,Cedric Pioline,6.6,2.8,52,2.2,1.4,0,0.6,114.6,1997
4479,Bohdan Ulihrach,3.8,3.6,53,2.2,1.4,0.6,0.6,96.2,1997
4480,Mark Philippoussis,16,4.2,51.6,1.2,1.6,1,0.8,76.8,1997
4481,Cedric Pioline,6.2,2.8,46.8,2.2,1.4,0,0.6,125.2,1997
4482,Alberto Berasategui,5,2.6,45.6,2.2,1.2,0.6,0.6,105.6,1997
4483,Michael Chang,4.6,1.8,40.6,3.8,2,0.2,1,105.8,1997
4484,Bohdan Ulihrach,3,3.6,46.2,3.8,2,0.4,1,92.8,1997
4485,Doug Flach,3.2,1.8,43.6,3,1.2,0.2,0.4,91,1997
4486,Hendrik Dreekmann,5.2,4.4,47.6,2.4,1.2,0.2,0.4,102,1997
4487,Galo Blanco,2,5.2,40.8,0.6,0,0,0,85.6,1997
4488,Magnus Larsson,8,4.2,60.6,2,1.6,0.4,0.6,95.4,1997
4489,Andrei Medvedev,7.4,4.4,51.8,2.2,1,0.2,0.4,99.6,1997
4490,Fernando Meligeni,2,3.4,42,3,1,0,0.4,89.6,1997
4491,Javier Frana,8.6,0.8,45.6,2,1.2,0.2,0.4,110.8,1997
4492,Jason Stoltenberg,2.2,3.6,34.8,2,0.6,0,0.2,150.2,1997
4493,Adrian Voinea,6.4,2.8,35.4,1.2,0.4,0,0.4,103,1997
4494,Grant Stafford,3.8,3.2,42.2,3.4,1.4,0.4,0.6,75,1997
4495,Byron Black,4.2,1.8,39.6,2.4,1.2,0.2,0.6,83.6,1997
4496,Hernan Gumy,3,3.6,47,2,1.2,0,0.4,105.4,1997
4497,Daniel Nestor,9,4,45,2.6,1.4,0.2,0.6,126,1997
4498,Jeff Tarango,1.8,2.6,37.4,2.2,0.8,0,0.4,117,1997
4499,Jiri Novak,1.6,2.2,41.2,3,1,0,0.4,77.8,1997
4500,Albert Costa,3.8,3.6,47.8,2.8,1.4,0.2,0.6,100.8,1997
4501,Andre Agassi,2.8,3.8,39,0.4,0,0,0,96.4,1997
4502,Marc Rosset,9.6,7,55,2.6,1.2,0.2,0.4,117,1997
4503,Alberto Berasategui,5.6,3.2,49.8,2.4,1.2,0.6,0.6,99.6,1997
4504,Jan Siemerink,9.4,4.2,52.2,1,0.8,0,0.2,92.2,1997
4505,Alex Corretja,5.2,2.6,38.4,2.6,1,0,0.4,78.4,1997
4506,Andrei Medvedev,9,4.4,59,2.8,1.4,0.4,0.6,78.4,1997
4507,Jim Courier,5.8,2.2,43.4,2.4,1.2,0.2,0.4,105.8,1997
4508,Mikael Tillstrom,5.2,3.8,46.8,2.2,1,0.4,0.4,98.8,1997
4509,Cedric Pioline,7.4,3.2,49.6,2.6,1.4,0,0.6,110.2,1997
4510,Jason Stoltenberg,2.4,3.6,40.2,2.6,0.8,0,0.2,150.8,1997
4511,Chris Woodruff,6.2,4.8,46.4,3.4,1.8,0,0.8,102.4,1997
4512,Michael Chang,5.8,3.4,50.6,3.4,1.8,0.4,0.8,114,1997
4513,Goran Ivanisevic,14.6,6.4,58.6,1.6,1.4,0.2,0.6,113.4,1997
4514,Arnaud Boetsch,2.4,1.8,44.8,2.8,1,0.2,0.4,90.8,1997
4515,Carlos Moya,3.8,1.4,47,3.2,1.2,0.2,0.4,79.2,1997
4516,Mark Philippoussis,12.6,4.4,47,1.8,1.6,0.6,0.8,70,1997
4517,Albert Costa,3.4,4.2,49,3.4,1.2,0,0.4,81.4,1997
4518,Magnus Larsson,8.6,2.8,58.6,3,1.8,0.4,0.8,75.6,1997
4519,Magnus Larsson,6.8,2,47.2,2.8,1.4,0.2,0.6,66.6,1997
4520,Alex Corretja,2.8,2.6,34.4,3.4,1.2,0,0.6,83,1997
4521,Jim Courier,5.4,1.4,53,2.6,1.6,0.2,0.6,108,1997
4522,Jonas Bjorkman,5.4,3.2,37.4,3.8,1.6,0,0.8,102.2,1997
4523,Andrei Medvedev,8.6,3,58.4,2.6,1.6,0.4,0.8,72.6,1997
4524,Goran Ivanisevic,11.2,4.4,45.2,1.4,1.2,0.2,0.6,126.8,1997
4525,Andrei Medvedev,5.8,2.6,51.8,2.6,1.6,0.4,0.8,86.8,1997
4526,Pete Sampras,7.6,0.8,42.6,3.6,1.4,0.2,0.6,103.2,1997
4527,Jim Courier,4.2,2.6,44.6,2.6,1.6,0.4,0.8,101,1997
4528,Sergi Bruguera,5.8,3.4,50,2.8,1.6,0.4,0.8,92.4,1997
4529,Michael Stich,9.6,6,55.8,2.6,1.4,0.4,0.6,87.6,1997
4530,Alexander Volkov,3.4,5.2,43,2.4,1,0.4,0.4,77.6,1997
4531,Fabrice Santoro,3.2,2.2,34.4,2.2,1,0,0.4,94.6,1997
4532,Michael Stich,9.2,4.2,53.6,2.4,1.6,0.4,0.8,87.2,1997
4533,Daniel Vacek,9,7.6,56.2,1.4,1,0.4,0.4,85,1997
